"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A2"
"VT","(B0) TOMA"
"HT","Header B"
"BT","b1.All Respondents"
"CH",,"Aug","P12M Product¡¾Aug¡¿",,,,,,,,,,,,"Sep","P12M Product¡¾Sep¡¿",,,,,,,,,,,,"Nov","P12M Product¡¾Nov¡¿",,,,,,,,,,,,"Jan","P12M Product¡¾Jan¡¿",,,,,,,,,,,,"March","P12M Product¡¾March¡¿",,,,,,,,,,,
"CL",,"National (a)","Bar only (a)","Bar user (b)","Non-Bar User (c)","LQD only (d)","LQD user (e)","PWD only (f)","PWD (g)","LQD+PWD (h)","LQD+BAR (i)","PWD+BAR (j)","SUD ONLY (k)","SUD USER (l)","National (a)","Bar only (a)","Bar user (b)","Non-Bar User (c)","LQD only (d)","LQD user (e)","PWD only (f)","PWD (g)","LQD+PWD (h)","LQD+BAR (i)","PWD+BAR (j)","SUD ONLY (k)","SUD USER (l)","National (a)","Bar only (a)","Bar user (b)","Non-Bar User (c)","LQD only (d)","LQD user (e)","PWD only (f)","PWD (g)","LQD+PWD (h)","LQD+BAR (i)","PWD+BAR (j)","SUD ONLY (k)","SUD USER (l)","National (a)","Bar only (a)","Bar user (b)","Non-Bar User (c)","LQD only (d)","LQD user (e)","PWD only (f)","PWD (g)","LQD+PWD (h)","LQD+BAR (i)","PWD+BAR (j)","SUD ONLY (k)","SUD USER (l)","National (a)","Bar only (a)","Bar user (b)","Non-Bar User (c)","LQD only (d)","LQD user (e)","PWD only (f)","PWD (g)","LQD+PWD (h)","LQD+BAR (i)","PWD+BAR (j)","SUD ONLY (k)","SUD USER (l)"
"PV",,22.4885579484814,19.0861044727083,20.8102904275476,23.8018991499318,31.4670690680424,25.2241991242865,5.70353176597161,16.285647748061,19.8617577881503,22.1535373649634,17.6085025185684,8.94079234476076,14.6027061506551,22.0995154510764,6.96085251997155,18.0586944329735,24.8086128391108,35.869697805421,26.1552075868899,4.0570945427236,14.022066833758,17.8181214293935,20.6147577731523,16.3463569988019,7.1932434939135,22.393538511322,21.6799661961893,10.9609796825664,19.1510624896811,23.2998813701676,31.3221201499661,24.9641418229243,6.75703267228716,15.2622466753869,19.5126088521372,21.3405836820952,18.9334148153574,34.7215653365966,35.3811744649379,21.4784847370357,17.0212765957447,17.7323103154305,24.3208279430789,32.4492979719189,24.557421697685,5.49450549450549,14.423740510697,17.6864244741874,19.23474663909,14.4385026737968,28.5714285714286,20.0,20.7483855374886,3.31837093391185,17.9650507086444,23.0191040917239,34.3822396495738,23.8801598580727,8.3005821012481,15.373779696107,17.9411708937709,20.3189313394809,16.4580008496155,17.2312402359811,20.0639823284226
"MK",," ",f,fgj,bfghjl,abcefghijl,bfghijl," ",f,fg,fgj,f," ",f," "," ",afg,abfghij,abcefghijl,abfghij," ",af,afg,afgj,af," ",afg," "," ",afg,abfghj,abcefghij,abfghij," ",f,afg,afg,afg," ",abcefghij," ",f,fgj,abfghij,abcefghijl,abfghij," ",f,fgj,fgj,f," ",f," "," ",afg,abfghij,abcefghijl,abfghij,a,af,afg,afgj,af," ",af
"RW","Á¢°× Liby",761.886218268869,25.8925756202154,344.876687737858,417.00953053101,174.858480327107,589.418287939414,98.0739310018596,426.698529371942,286.626407104977,280.653695805189,229.849507452218,4.73108949656964,21.8316321469026,825.841179995198,34.6347525347901,356.825742970616,469.015437024584,170.192913155771,600.691789371062,143.512518317404,522.192685468433,343.699994325279,288.637973953653,255.983901613572,5.36432713182062,31.6239466923865,778.219686060602,45.5809138263248,299.930539456032,478.289146604571,184.722087235595,561.18245625146,105.991041001459,402.367536727468,241.64337365752,203.139356355245,173.153664140531,1.84509420488671,17.0562855265636,702.0,22.0,299.0,403.0,149.0,535.0,106.0,416.0,274.0,246.0,203.0,1.0,17.0,764.180936214188,29.8697745332727,350.191934096502,413.989002117686,123.650201267801,584.412421903637,96.1947288628061,507.254209497942,359.715821719149,278.124666838497,248.238616061246,0.0,30.4742486027857
"PV",,25.3955088596165,24.9901981514783,26.1853185974824,24.7774371534626,22.4495488709094,23.7110488309292,36.1148044597911,28.2971836572257,25.5653767817285,25.4770239551383,26.8762397957824,30.432409178948,25.321862785861,27.5298299007883,29.7833632061232,29.6371936182817,26.1169849573663,20.8932026841875,24.8878149538596,44.0045767804765,33.4030980135282,30.2336207587445,29.1584793202628,31.8566841938221,23.8035120662998,25.0876082623989,25.9369337034598,29.8645801374445,25.6017298297688,26.1516519784069,22.4248578490419,23.924630549604,31.765686127016,28.8030670754014,25.7362697703732,22.7784665547435,26.1015336870121,28.7223668879772,18.4500377931672,25.8183155571901,23.4042553191489,25.4901960784314,26.0672703751617,23.2449297971919,24.2850658193373,38.8278388278388,28.7094547964113,26.1950286806883,25.4395036194416,27.1390374331551,14.2857142857143,20.0,25.4737106932946,34.5062057465978,25.9823643116651,25.0587375477919,21.7302269547238,23.8534261387833,33.4861533718815,27.9427098137556,26.3031035884682,24.5096966081039,26.665781377106,0.0,20.3390294310426
"MK",," "," ",d," "," "," ",abcdeghijl,cde," "," ",de," "," "," ",d,cde,d," ",d,abcdeghijl,bcdehil,cde,cde,cde," "," "," ",dl," ",dil," "," ",bcdehijl,bdeil," "," "," "," "," "," "," "," "," "," "," ",abcdeghijl,bdeil," "," ",d," "," "," ",cdeil,d," "," "," ",bcdeghijl,cdeil,dl," ",dl," "," "
"RW","ºÃ°Ö°Ö Kispa",85.9125504242071,1.16286608381809,42.1146350589405,43.7979153652666,24.3420317023675,73.6109066237058,6.40712178802926,50.9318874821086,40.355320346144,36.7823236271871,33.6517964941958,0.56221058071861,0.56221058071861,59.1968739742127,0.0,28.7404395374513,30.4564344367614,13.0850050400844,47.6921718103159,9.23703993222495,32.9353828689269,21.4306807050301,26.9674070476356,17.9358099579937,0.0,0.0,73.0631143885957,1.01894991037625,32.8749712267174,40.1881431618783,24.4919068395949,62.7213455167226,8.68824302637442,37.6767902084534,28.3539712469565,31.2214453812188,24.1584590928775,0.0,0.0,62.0,5.0,28.0,34.0,17.0,48.0,6.0,27.0,18.0,21.0,15.0,0.0,1.0,92.1552478623397,5.00500867957777,49.9327794680653,42.2224683942744,11.3362651472893,71.2571833252403,9.19729347112547,61.5912894209729,47.0697697024767,39.2217763572583,34.6219743182728,0.0,0.941102041460577
"PV",,2.8636729253452,1.12233924830403,3.19762157270917,2.60233883391993,3.12519947157982,2.96121080251088,2.35936245402824,3.3776281727798,3.59945540334903,3.33900516608899,3.9348953241716,3.61638105759111,0.652091382170695,1.97335748161402,0.0,2.38712029057867,1.69595748294787,1.60633987254144,1.97597830995091,2.83231064221821,2.10677754150646,1.88515299312,2.7242727973342,2.23207565003346,0.0,0.0,2.43508765970453,0.667615207769234,2.80617016537999,2.19738695951791,2.97326398564025,2.67396994033835,2.60388046351243,2.69705435082091,3.01984466624487,3.50092991415782,3.64169500523693,0.0,0.0,2.28025009194557,5.31914893617021,2.38704177323103,2.19922380336352,2.65210608424337,2.17884702678166,2.1978021978022,1.86335403726708,1.7208413001912,2.17166494312306,2.00534759358289,0.0,1.17647058823529,3.07196373485051,5.78189363527467,3.70474457265994,2.55572430354391,1.99222978971139,2.90843913579001,3.20165131105634,3.39283044895513,3.44183089432255,3.45641344895714,3.7190909805389,0.0,0.628107434850131
"MK",," "," ",l,l,l,l," ",al,al,al,al," "," "," "," ",al,al,al,al,al,al,al,acl,al," "," "," "," ",al,al,al,al,al,al,al,acl,acl," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",l,cdl,l," ",l,l,dl,dl,dl,dl," "," "
"RW","µñÅÆ Diaopai",379.655761938957,20.292951000713,191.072247868135,188.583514070822,67.1948104278488,263.280056278345,71.6126652025389,247.381654860547,152.999674927294,146.309207410062,140.581336387657,2.41354102446582,8.74753703388819,479.188033687452,34.1216296171481,210.638849923798,268.549183763654,99.492870293762,341.67842043901,79.115883796219,284.845255934146,185.940661425906,159.944511552659,139.845784776064,3.53994329363297,15.7178227931016,530.369985781732,37.4057016630926,245.591190467283,284.77879531445,90.2919713079072,378.324689042549,85.6811556461877,296.642028631222,188.579612224384,183.246627743214,142.396354830949,0.0,11.7663825116778,496.0,19.0,241.0,255.0,89.0,377.0,58.0,308.0,214.0,190.0,162.0,1.0,9.0,549.333158529677,25.1121213528263,275.242707180011,274.090451349666,75.095549468854,423.70247930289,62.9449152286483,372.438409660788,271.919851786827,219.567104833752,200.457958493057,0.0,18.6061495526936
"PV",,12.6548440367283,19.5857250365671,14.5074685052857,11.2050584602202,8.62693749682344,10.5911988113734,26.3706917242375,16.4055032749256,13.6466642292511,13.281575257184,16.4381370638859,15.5249373489927,10.1460088277358,15.9739734194236,29.342114890283,17.4952186093756,14.9540813350686,12.2139322145368,14.1563934318407,24.258935902484,18.2206956693038,16.3562977422124,16.1577448338333,17.4035280084663,15.7080433078307,12.4691135109354,17.6764625798152,24.5081873340941,20.9633847834171,15.5709908927762,10.9612480661675,16.1289404405062,25.6787806925996,21.234815108445,20.0847045790617,20.5478507769751,21.4651146481731,0.0,12.7278710063348,18.2420007355645,20.2127659574468,20.5456095481671,16.4941785252264,13.8845553822153,17.1130276895143,21.2454212454212,21.256038647343,20.4588910133843,19.6483971044467,21.6577540106952,14.2857142857143,10.5882352941176,18.311833351855,29.0100625021094,20.4215334386008,16.5906839302331,13.1972557789344,17.2938757221306,21.9116276977374,20.5162189091508,19.8832956391172,19.349319805999,21.5331852122396,0.0,12.4180592041249
