"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A1"
"VT","【TOMA】"
"HT","Total wave"
"BT","b1.All Respondents"
"CH",,"Total","National",,,,"North",,,
"CL",,"(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","Aug (a)","Sep (b)","Nov (c)","Jan (d)"
"RU","Unweighted row",11887.0,2459.0,2747.0,2738.0,2719.0,835.0,819.0,838.0,822.0
"RT","总体",12943.3179451249,3000.0825046684,2999.80487700562,3000.43056345088,2719.0,952.213222600581,924.007294287963,940.118383537841,822.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","汰渍 Tide",658.991867489218,157.216845720547,178.208852163687,166.566169604983,157.0,36.6677478619166,44.6691599027738,45.3105122189432,41.0
"PV",,5.09136737800238,5.24041740438483,5.94068145997462,5.55140890890709,5.77418168444281,3.85079171257186,4.83428650173111,4.81966026963873,4.98783454987835
"MK",," "," "," "," "," "," "," "," "," "
"RW","碧浪 Ariel",535.652992953593,146.255727715241,127.028457877046,127.368807361305,135.0,88.2128188940128,65.0443608837546,75.7464224605904,77.0
"PV",,4.13845194272884,4.87505685219168,4.23455734907147,4.24501766222561,4.96506068407503,9.26397752103206,7.03937742546476,8.05711533642629,9.36739659367397
"MK",," "," "," "," "," ",b," "," ",b
"RW","蓝月亮 Blue Moon",2572.10996675689,674.675292564606,662.942342296002,650.492331896283,584.0,206.873733946613,219.098550760782,187.543797999216,184.0
"PV",,19.8721068095655,22.4885579484814,22.0995154510764,21.6799661961893,21.4784847370357,21.725568290432,23.7117771813283,19.9489555021202,22.3844282238443
"MK",," "," "," "," "," "," ",c," "," "
"RW","立白 Liby",3067.94708432467,761.886218268869,825.841179995198,778.219686060602,702.0,196.576059373113,191.967585115635,194.84456239192,160.0
"PV",,23.7029415280662,25.3955088596165,27.5298299007883,25.9369337034598,25.8183155571901,20.6441219999283,20.7755486674555,20.7255347628331,19.4647201946472
"MK",," "," ",a," "," "," "," "," "," "
"RW","好爸爸 Kispa",280.172538787015,85.9125504242071,59.1968739742127,73.0631143885957,62.0,26.5015419007492,21.9410491099427,16.5674124600252,24.0
"PV",,2.16461142324439,2.8636729253452,1.97335748161402,2.43508765970453,2.28025009194557,2.78315205793625,2.37455366917318,1.76226874722723,2.91970802919708
"MK",," ",b," "," "," "," "," "," "," "
"RW","雕牌 Diaopai",1885.21378140814,379.655761938957,479.188033687452,530.369985781732,496.0,121.771677823134,171.226265886866,174.913769612846,162.0
"PV",,14.5651508322733,12.6548440367283,15.9739734194236,17.6764625798152,18.2420007355645,12.7882783953119,18.5308348695248,18.6055046551279,19.7080291970803
"MK",," "," ",a,ab,ab," ",a,a,a
"RW","超能 Chaoneng",839.613771821485,296.105579291083,166.209084534236,185.299107996166,192.0,119.007445395854,58.2742592447092,68.8007426518111,76.0
"PV",,6.48685117201902,9.86991453836073,5.54066318807191,6.17575058237801,7.06141963957337,12.4979828646817,6.30668822691656,7.31830627467373,9.24574209245742
"MK",," ",bcd," "," ",b,bcd," "," ",b
"RW","奥妙 Omo",679.550417726004,224.267567245777,163.798425170256,155.484425309971,136.0,59.0527310819677,41.2341012483332,47.9262615227465,20.0
"PV",,5.25020261888842,7.4753799902768,5.46030264920957,5.18207044028854,5.00183891136447,6.20162897136519,4.46252984183507,5.09789643112722,2.4330900243309
"MK",," ",bcd," "," "," ",d,d,d," "
"RW","洁霸 Attack",47.5980090264838,27.6171084374844,5.45718933769119,6.52371125130824,8.0,9.43115303041299,0.0,0.559741638882636,0.0
"PV",,0.367741943976672,0.920544964830456,0.181918143393997,0.217425836504116,0.294225818315557,0.990445501760169,0.0,0.059539484461119,0.0
"MK",," ",bcd," "," "," ",bcd," "," "," "
"RW","威露士Walch",138.983855204453,55.1983309986555,28.3889161234225,32.3966080823748,23.0,18.0902517266828,8.04330287783234,4.98100470836957,8.0
"PV",,1.07378846593814,1.83989376668014,0.946358756232172,1.07973197170457,0.845899227657227,1.89981101893089,0.870480452649508,0.529827391485008,0.97323600973236
"MK",," ",bcd," "," "," ",bc," "," "," "
"RW","白猫 Baimao",158.830033770473,33.8110362990362,32.5995731802597,53.4194242911772,39.0,8.73363977125091,16.5657502139089,28.0325352794253,12.0
"PV",,1.22711992739308,1.12700354894984,1.08672312089846,1.78039195247158,1.43435086428834,0.917193708715633,1.79281595679116,2.98180907535641,1.45985401459854
"MK",," "," "," ",ab," "," "," ",ad," "
"TE"
"TB","B1A1"
"VT","【UBA】"
"HT","Total wave"
"BT","b1.All Respondents"
"CH",,"Total","National",,,,"North",,,
"CL",,"(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","Aug (a)","Sep (b)","Nov (c)","Jan (d)"
"RU","Unweighted row",11887.0,2459.0,2747.0,2738.0,2719.0,835.0,819.0,838.0,822.0
"RT","总体",12943.3179451249,3000.0825046684,2999.80487700562,3000.43056345088,2719.0,952.213222600581,924.007294287963,940.118383537841,822.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","汰渍 Tide",3572.85121463554,918.921272766505,877.642228043841,897.287713825193,879.0,299.711855879229,281.034907728297,253.336508957438,249.0
"PV",,27.6038279348708,30.6298667232178,29.2566438161103,29.9052984180109,32.3280617874218,31.4752881776509,30.4147932019154,26.9472987012642,30.2919708029197
"MK",," "," "," "," ",bc,c," "," "," "
"RW","碧浪 Ariel",2032.98872819962,511.934592831975,533.595720043779,485.458415323863,502.0,267.916272792215,284.654339318693,254.068937487546,242.0
