"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A3"
"VT","(B0) TOMA"
"HT","Header C"
"BT","b1.All Respondents"
"CH",,"³¬ÄÜ",,,,"°ÂÃî",,,,"ÎÀÐÂ",,,,"ÂèÂèÒ¼Ñ¡",,,
"CL",,"aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)"
"MK",," ",acd," "," "," ",acd," "," "," ",c," "," ",c,c," ",c
"RW","°²Àû",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","´«»¯",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","ÂåÍÞ",1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"PV",,0.248756218905473,0.100200400801603,0.515463917525773,0.0,0.51413881748072,0.0,0.617283950617284,0.440528634361233,0.0,0.156985871271586,0.0,0.0,0.0,0.174825174825175,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","ÂÌÉ¡",1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
"PV",,0.248756218905473,0.100200400801603,0.515463917525773,0.0,0.25706940874036,0.0989119683481701,0.0,0.440528634361233,0.0,0.156985871271586,0.0,0.0,0.390625,0.0874125874125874,0.0,0.689655172413793
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
