"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A3"
"VT","(B0) TOMA"
"HT","Header C"
"BT","b1.All Respondents"
"CH",,"³¬ÄÜ",,,,"°ÂÃî",,,,"ÎÀÐÂ",,,,"ÂèÂèÒ¼Ñ¡",,,
"CL",,"aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)"
"MK",," ",a,ab,a,a," ",a,a,a,a," ",a,abe,a,a," ",a,ab,ab,ab," ",a,a,a,a," ",a,a,a,a," "," "," "," "," "," ",a,abde,ab,a," ",a,a," "," "," ",a,ab,a,ab," ",a,a,a,a," ",a,ab,a,a," ",a,ae,a,a," ",a,ab,a,a," ",a,a,a,a," ",a,ab,a,a," ",a,abde,a,a," ",a,ab,ab,ab," ",a,a,a,a," ",a,a,a,a," ",a,ae,a,a," ",a,a,a,a," ",a,abde,a,a," ",a,abd,a,ab," ",a,a,a,a," ",a,abde,a,a," ",a,a,a,a," ",a,a,a,a
"RS","Mean",3.500867998133,4.00528934831236,4.15172808250759,3.89690721649485,4.00994957221718,3.10994422624854,3.65669207080695,3.87578323752327,3.78666666666667,3.87504794024523,3.54424951042507,4.31090434889084,4.93741952610807,4.08333333333333,4.10635886755564,4.39353270884306,3.63604405169642,3.75131392392071,3.99532710280374,3.87539696933783,3.31696248858074,4.20131749766753,3.80886275101291,3.78073089700997,4.11557792411886,2.81229552167148,4.11860001241404,2.88461297900955,3.10344827586207,3.69894195863053,0.0,0.0,0.0,4.09375,4.21389083159286,2.8226085072492,3.87275416761703,5.24902402099538,4.54545454545455,3.99379375301955,2.7808801705498,3.597210586961,3.79356240963874,3.16666666666667,4.20209571367615,2.81172640309565,3.91671679160591,4.1654090406526,3.85849056603774,3.98725817733431,3.5828046736581,3.87594386100228,3.63846603980356,3.87772925764192,3.74127037492709,3.71241002030592,3.99649928688295,4.09888910915033,4.02227722772277,4.23236082238289,3.39357912513677,4.12339058102237,4.58471125022412,3.76829268292683,3.91949421763397,3.27620175148186,4.20131226170598,3.96533651156203,3.83846153846154,4.11557792411886,3.54122999054275,4.72987894929943,4.36924503589291,4.10280373831776,4.72837372431709,3.500867998133,4.00528934831236,4.15172808250759,3.89690721649485,4.00994957221718,3.8682697616013,4.09714431400443,4.75970371532711,3.57345971563981,3.65368540686919,3.5505699449177,3.83743746665287,4.14827192483315,3.96632124352332,4.13041780069928,3.09465512264398,4.06020787985616,3.85051210049405,3.98795180722892,4.23088097316066,3.5632862479031,4.14504612959424,3.93391222002965,3.97826086956522,3.71017842023642,3.56142032909914,4.2966233261399,4.69200346390472,3.86904761904762,4.15245709725222,2.93333375549713,4.70468308434813,3.9492634765755,3.57264957264957,4.47461728776539,3.82163844835315,4.05100084499362,5.06293906579577,4.02739726027397,3.9863309863087,3.49194535254434,3.84467326046009,3.72118063003944,3.89879518072289,4.00989690232757,3.44559928428694,3.92517646864924,4.19000070310873,3.92405063291139,3.85685426857692,3.39775262801939,4.05051406347416,4.1105453612756,3.91732729331823,3.91525568228678,3.40149948878545,4.11204102001846,4.11076895885054,4.13014827018122,4.20780674079425,3.29666257691599,4.27600010206077,3.93226577325156,4.14256619144603,3.94835748786441
"MK",," ",a,ad,a,a," ",a,a,a,a," ",a,abde,a,a,b," "," "," "," "," ",ad,a,a,a," "," "," "," "," "," "," "," "," "," "," "," ",a,a,a," "," "," "," "," "," ",a,a,a,a," "," "," "," "," "," "," "," "," ",a," ",a,abde," ",a," ",ad,a,a,a," ",a,a," ",a," ",a,ad,a,a," ",d,abde," "," "," "," ",a,a,a," ",a,a,a,a," "," "," "," "," "," ",ad,ade," ",a," ",acd,a," ",ad," "," ",abde," "," "," "," "," ",a,a," ",a,a,a,a," ",a,a,a,a," ",a,a,a,a," ",ace,a,a,a
"TE"
"TB","TF108J1"
"VT","(F108 ) F108 .Equity attribute-ºÃ°Ö°Ö Kispa"
"HT","Header A"
"BT","b10.ABA-ºÃ°Ö°Ö Kispa"
"CH",,"National",,,,,"East",,,,,"South",,,,,"West",,,,,"North",,,,,"beijing",,,,,"shanghai",,,,,"guangzhou",,,,,"chengdu",,,,,"Top4",,,,,"A",,,,,"B",,,,,"C",,,,,"North+4",,,,,"North+4 China1+1",,,,,"National",,,,,"18-24",,,,,"25-34",,,,,"35-44",,,,,"45-55",,,,,"China1+1",,,,,"China1+",,,,,"China1",,,,,"China2",,,,,"China3",,,,,"Usage Liquid",,,,,"Usage Powder",,,,,"Usage Bar",,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Nov (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)"
"RU","Unweighted row",575.0,702.0,711.0,715.0,712.0,205.0,200.0,184.0,210.0,185.0,115.0,163.0,159.0,149.0,158.0,61.0,132.0,158.0,136.0,131.0,194.0,207.0,210.0,220.0,238.0,26.0,17.0,13.0,10.0,19.0,0.0,0.0,0.0,20.0,19.0,20.0,20.0,17.0,19.0,20.0,23.0,19.0,20.0,9.0,6.0,69.0,56.0,50.0,58.0,64.0,136.0,154.0,165.0,176.0,163.0,207.0,272.0,305.0,292.0,307.0,163.0,220.0,191.0,189.0,178.0,246.0,256.0,257.0,275.0,238.0,62.0,91.0,64.0,80.0,78.0,575.0,702.0,711.0,715.0,712.0,135.0,155.0,136.0,158.0,128.0,238.0,275.0,299.0,286.0,315.0,152.0,196.0,206.0,211.0,199.0,50.0,76.0,70.0,60.0,70.0,150.0,206.0,208.0,213.0,213.0,43.0,68.0,80.0,78.0,71.0,107.0,138.0,128.0,135.0,142.0,211.0,275.0,264.0,289.0,272.0,214.0,221.0,239.0,213.0,227.0,491.0,580.0,606.0,621.0,598.0,291.0,370.0,346.0,382.0,443.0,256.0,331.0,323.0,363.0,382.0
"RT","×ÜÌå",777.32851276901,790.75202147016,737.851099907666,715.0,758.939176338063,203.854197388849,226.519431950623,207.682472650699,210.0,199.081141737506,227.143103088971,205.205154532752,176.574135759925,149.0,190.414059190185,98.7709249670445,114.501068569587,120.841986152164,136.0,136.221716355481,247.560287324145,244.526366417199,232.752505344878,220.0,233.222259054891,28.5923914838339,21.1898121980396,20.0804403886132,10.0,19.7929975262956,0.0,0.0,0.0,20.0,17.8354091493415,25.6753972997135,29.5457763054266,21.4001090845881,19.0,20.906592731845,10.8104722631773,11.4480808038467,11.121487578261,9.0,6.59473825369722,65.0782610467247,62.1836693073128,52.6020370514623,58.0,65.1297376611793,148.257485990185,184.730735087783,186.7919786077,176.0,162.504881079799,289.977599290075,296.39002547818,309.499030142983,292.0,300.240012748634,274.015166442025,247.447591596885,188.958054105521,189.0,231.064544848451,294.032020627714,295.698095209248,274.181930837048,275.0,233.222259054891,77.8899132926557,100.840325155813,73.7591992507962,80.0,77.8764670171561,777.32851276901,790.75202147016,737.851099907666,715.0,758.939176338063,197.199222041853,177.836522383903,152.350279929822,158.0,162.033149170083,320.974995012278,298.234932971551,296.2383844111,286.0,314.206161880026,196.163241816033,233.847775800734,219.519049332903,211.0,214.583520266875,62.9910538988452,80.8327903139731,69.7433862338418,60.0,68.1163450210797,226.557399133468,230.379002187695,218.53468434718,213.0,232.069695981344,67.7250481542354,80.4372798096514,80.5700680760945,78.0,79.6588890688237,158.832350979233,149.941722378044,137.964616271086,135.0,152.41080691252,336.705399578955,325.39869006289,285.184144318485,289.0,297.516203476315,214.065714056587,234.974329219575,234.132271242,213.0,229.353276880404,664.744214956647,647.011175057129,636.654639985405,621.0,633.846261270321,395.185379818045,403.115558031956,365.931153587786,382.0,473.979062585109,357.705154649155,364.133508162945,324.519325928566,363.0,405.876303346303
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","Çå½àÐ§¹û±ÈÆäËüÏ´ÒÂ²úÆ·¸üºÃ Cleans better than others",148.20859779185,162.351857353875,151.496680847846,150.0,198.628956233877,42.5596031244808,50.9325134731858,48.1700288725426,42.0,42.2950380654476,38.8753353224103,39.0413511441257,28.0859035036328,33.0,57.8776996770123,15.2167288081823,27.4256806566437,24.6503027598918,31.0,35.7960628047243,51.5569305367767,44.9523120799194,50.5904457117784,44.0,62.660155686693,6.70751748574694,2.35499419859205,4.79563645450747,1.0,6.97621988906133,0.0,0.0,0.0,5.0,5.87528446808009,2.99370486118041,8.71552740942752,1.27674918152064,6.0,4.77800459297645,1.92163676681093,0.580948607508293,3.33697041115796,5.0,5.61447863080058,11.6228591137383,11.6514702155279,9.40935604718607,17.0,23.2439875809184,27.9798069155359,44.8128240977204,39.7333769743027,39.0,39.3046189041864,57.8873301092964,49.5956547761513,65.6037147945679,48.0,73.0283448065334,50.7186016532794,56.291908264475,36.7502330317889,46.0,63.052004942239,57.3826121672106,57.6060497659944,56.9912080459373,61.0,62.660155686693,13.2713638541075,31.6012274324362,7.67141569456066,21.0,23.095291898404,148.20859779185,162.351857353875,151.496680847846,150.0,198.628956233877,31.7146354159678,31.0824070000425,36.0710631204391,33.0,45.5867882438043,74.7577407298425,57.8781834162478,54.2270403655465,55.0,74.4701976168697,26.1916880699633,52.3281769635532,39.7545651227353,45.0,64.1512020575083,15.5445335760764,21.0630899740311,21.4440122391247,17.0,14.420768315695,38.7898058426287,68.9790597341487,30.8195179614879,44.0,65.0511493809882,8.23710214945244,27.2768731200986,10.269097695304,13.0,24.5522274508803,30.5527036931763,41.7021866140501,20.5504202661838,31.0,40.4989219301079,71.5966540382568,57.2858210284599,50.8229863193079,64.0,74.5149132604801,37.8221379109645,36.086976591266,69.8541765670499,42.0,59.062893592409,125.828591527854,130.493869323164,129.829244591558,132.0,167.42381281761,76.9466551228626,103.506781827496,76.4305124913945,83.0,127.879817308679,73.1717710403331,77.1953797218734,74.7896944066072,81.0,111.102706091525
"PV",,19.0664044039629,20.531323720429,20.5321481348749,20.979020979021,26.1719202838199,20.8774720705402,22.4848318903996,23.1940751945687,20.0,21.2451253274481,17.1149089687231,19.0255216702631,15.9060121590056,22.1476510067114,30.3957070833747,15.4060811045958,23.9523359906253,20.3987898120544,22.7941176470588,26.2777945854915,20.8260101383992,18.3834212803146,21.7357255239065,20.0,26.8671420732381,23.4590992136469,11.1138040138455,23.8821278901178,10.0,35.2458988578825,0.0,0.0,0.0,25.0,32.9416859399438,11.659819033117,29.4983869075958,5.96608725906042,31.5789473684211,22.8540568722065,17.7756967506076,5.07463755246285,30.0047128378822,55.5555555555556,85.1357311664785,17.8598182047202,18.7371867008138,17.8878168500976,29.3103448275862,35.6887474379819,18.8724412319983,24.2584560043166,21.2714578379999,22.1590909090909,24.1867312803273,19.9626903081536,16.733240160878,21.1967432544975,16.4383561643836,24.3233219110185,18.5094140269095,22.7490224904592,19.4488841482599,24.3386243386243,27.2876156675587,19.5157697602824,19.481373299084,20.7859095134202,22.1818181818182,26.8671420732381,17.0386168029781,31.3378872823027,10.4006222579455,26.25,29.6563169632697,19.0664044039629,20.531323720429,20.5321481348749,20.979020979021,26.1719202838199,16.0825357664123,17.4780785090611,23.6764009472478,20.8860759493671,28.1342357889698,23.2908300931612,19.4069094587819,18.3052039233018,19.2307692307692,23.7010621215331,13.351985737739,22.3770257315352,18.1098475250989,21.3270142180095,29.8956797696879,24.6773670449121,26.0576059445891,30.74701903235,28.3333333333333,21.1707899348273,17.1214032254038,29.9415567734553,14.102803888341,20.6572769953052,28.0308676692616,12.1625637396277,33.9107354011065,12.7455492349906,16.6666666666667,30.8217045679204,19.2358190915218,27.8122632931397,14.8954281334023,22.962962962963,26.5722114793036,21.2638865096275,17.6048099693911,17.8211121942846,22.1453287197232,25.045665543528,17.6684706739009,15.3578379013241,29.835347428398,19.7183098591549,25.7519292489583,18.9288734970127,20.1687195451673,20.3924131605377,21.256038647343,26.4139465746896,19.4710277891078,25.676702316533,20.88658255577,21.7277486910995,26.9800561677166,20.4558894635169,21.1997462445366,23.0462990740558,22.3140495867769,27.3735384834057
"MK",," "," "," "," ",abcd," "," "," "," "," "," "," "," "," ",abcd," "," "," "," ",a," "," "," "," ",bd," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",abc," "," "," "," "," "," "," "," "," ",bd," "," "," "," ",ac," "," "," "," ",ab," ",ac," ",c,ac," "," "," "," ",abcd," "," "," "," ",ab," "," "," "," ",c," ",a," ",a,abcd," "," "," "," "," "," ",acd," ",c,acd," ",acd," "," ",acd," ",c," ",c,c," "," "," "," ",bc," "," ",abd," ",ab," "," "," "," ",abcd," ",a," "," ",acd," "," "," "," ",ab
"RW","ÄÜ°Ñ°×ÒÂ·þÏ´°× Gives me bright whites",113.179566805449,99.9077831790494,107.53457521318,134.0,165.491329923057,29.7091360986539,30.1802967786368,33.1241204624197,38.0,41.2687657067737,31.4434429728688,21.7210265657423,27.7033150203762,39.0,37.5850445295008,11.0923055452167,15.2754200591568,21.7419417161475,25.0,27.2830568293574,40.9346821887095,32.7310397755136,24.9651980142366,32.0,59.3544628574252,5.0901260648047,4.28333470645801,3.11855763210151,0.0,4.95260403268356,0.0,0.0,0.0,4.0,1.7493691950134,3.70775548047615,3.27937748354056,3.83024754456192,6.0,2.19146528894589,0.98894531519005,2.36640304854493,2.1795195941515,2.0,4.61672917667584,9.7868268604709,9.9291152385435,9.12832477081493,12.0,13.5101676933187,17.4746937185258,28.3035602629074,33.9929116432623,34.0,29.1082986076463,40.8336278862153,29.082451947742,43.2707949643023,53.0,61.164524772951,45.0844183402369,32.5926557298565,21.1425438348005,35.0,61.7083388491411,48.8303858513001,42.5415951354079,33.8064386123706,45.0,59.3544628574252,11.8121563863219,22.6865391925316,10.0132690994171,21.0,19.516661321227,113.179566805449,99.9077831790494,107.53457521318,134.0,165.491329923057,24.5849665798799,19.8082251233402,32.0764725636569,37.0,37.2132570582282,52.0336610534472,35.1936792289947,38.5342391142747,45.0,63.2904887314284,28.6329334421819,34.5399309701671,28.405162559951,39.0,47.3326416614523,7.92800572993993,10.3659478565475,8.51870097529741,13.0,17.6549424719482,28.6363061000052,45.1727951549615,33.1010296495147,45.0,50.7561114348643,4.05554312249904,21.5862125389425,7.28907547257249,11.0,18.5948621589108,24.5807629775062,23.586582616019,25.8119541769422,34.0,32.1612492759536,55.9910322943597,34.7280651134967,41.8258048855575,55.0,67.2404873342652,28.552228411084,20.0069229105913,32.6077406781079,34.0,47.4947311539276,97.8242697189791,80.3930804361706,96.3928210877958,119.0,135.044301293791,51.3220237266358,69.3479331264211,55.3886271632111,71.0,113.013348908199,50.938539043381,49.5853431935568,63.2228961096179,73.0,86.7815942285491
"PV",,14.5600688700173,12.6345276984941,14.5740211306369,18.7412587412587,21.8056117120696,14.5737181177507,13.3234912867058,15.9494058596515,18.0952380952381,20.7296207700013,13.843010219224,10.585029706101,15.6893391555615,26.1744966442953,19.7385868928727,11.2303347861911,13.3408537142807,17.9920426736201,18.3823529411765,20.0284195202475,16.5352377924458,13.3854848681919,10.7260705861124,14.5454545454545,25.4497418462341,17.8023795864807,20.2141230249048,15.5303248920273,0.0,25.0220009682913,0.0,0.0,0.0,20.0,9.80840518075799,14.4408884396018,11.0993106075139,17.8982617771813,31.5789473684211,10.4821733366807,9.14803064208958,20.6707402672227,19.5973747110213,22.2222222222222,70.006253456497,15.0385500519815,15.9674000411163,17.353557547371,20.6896551724138,20.743470154297,11.7867193024456,15.3215220247231,18.1982716263497,19.3181818181818,17.9122611051618,14.0816490605428,9.81222357291609,13.9809145587021,18.1506849315068,20.3718765573591,16.4532565571606,13.1715388779993,11.1890143740546,18.5185185185185,26.7061045170795,16.6071660314596,14.3868343505235,12.3299294410697,16.3636363636364,25.4497418462341,15.1651939089213,22.4974871485962,13.5756206698638,26.25,25.0610512633136,14.5600688700173,12.6345276984941,14.5740211306369,18.7412587412587,21.8056117120696,12.4670707750876,11.1384460614785,21.0544231217904,23.4177215189873,22.9664468343859,16.2111260571736,11.8006562404787,13.0078481189661,15.7342657342657,20.1429813956338,14.5964825912872,14.7702627711111,12.9397255710935,18.4834123222749,22.0579108789832,12.5859233005868,12.8239391666226,12.2143495395178,21.6666666666667,25.9188047545484,12.6397576108892,19.6080349016175,15.1468082736596,21.1267605633803,21.8710638716675,5.98824693821264,26.8360797257498,9.04687763908592,14.1025641025641,23.3431100738113,15.475917107542,15.730499984888,18.7091117089213,25.1851851851852,21.1016855874356,16.6290865440161,10.6724661696655,14.6662448522551,19.0311418685121,22.6006135291445,13.3380670215766,8.5145143203688,13.9270594801536,15.962441314554,20.7081109979927,14.7160768785869,12.4253001393789,15.140519684268,19.1626409017713,21.3055293602493,12.9868224756356,17.202990989726,15.1363519121428,18.586387434555,23.8435318834166,14.2403704227698,13.6173524495768,19.4820126439973,20.1101928374656,21.3812911749383
"MK",," "," "," ",abc,abc," "," "," "," ",b," "," "," ",abc,b," "," "," "," ",a,c," "," "," ",abcd," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",a," "," "," "," ",b,abc," "," "," ",c,abcd," "," "," "," ",abcd," "," "," ",ac,c," "," "," ",abc,abc," "," ",ab,ab,ab," "," "," "," ",bc," "," "," "," ",abc," "," "," "," ",abc," ",a," ",a,ac," ",acd," "," ",ac," "," "," ",ab," ",b," "," ",b,abc," "," ",b,b,abc," "," "," ",abc,abc," "," "," ",a,abcd," "," ",ab,ab,ab
"RW","Ï´ºóÒÂ·þÎÅÆðÀ´ÇåÐÂ¸É¾» Leaves clothes smelling freshly clean",188.241119173546,204.980416212367,216.687756333113,239.0,293.730913790359,51.2293665673189,63.2390624095198,66.2951052873616,71.0,70.641824593291,50.1560019071818,58.7094672935795,49.2690131405454,58.0,85.8668818165437,30.5851134746417,21.833311458294,40.0803556089295,48.0,52.3367447886987,56.2706372244033,61.1985750509734,61.0432822962763,62.0,84.8854625918256,8.34038694273685,6.78880064447876,6.34046404301273,2.0,7.82513106966251,0.0,0.0,0.0,8.0,8.92234341631856,7.4983621951097,11.4708967378952,7.60062159838408,10.0,7.31925843486884,2.87609989116257,3.00645155203421,4.43522170415406,4.0,3.22649617732071,18.7148490290091,21.2661489344082,18.3763073455509,24.0,27.2932290981706,28.7108668982402,37.8348883095959,58.0382325827217,60.0,64.6159735432503,79.3883413019443,74.6954272950861,95.5408691066276,95.0,115.563246968856,61.4270619443522,71.1839516732765,44.7323472982127,60.0,86.2584641800817,68.6329987189582,80.2333645067126,77.4496386092354,86.0,84.8854625918256,11.5480256897568,35.7927972408143,16.323601302376,27.0,31.2561743178609,188.241119173546,204.980416212367,216.687756333113,239.0,293.730913790359,45.3463719412676,38.6147233182663,57.7879817199812,53.0,69.235978431818,96.8441973070024,78.2531254901717,76.6824892258073,96.0,122.5947606286,36.343704988307,52.7983479015985,54.6868081467612,69.0,85.2410297334118,9.70684493696877,35.3142195023301,27.5304772405631,21.0,16.6591449965293,48.9706846082188,79.8804450971523,52.8612231106005,58.0,88.8584867003542,12.2246436110161,33.110892208247,19.9678180817785,17.0,31.717361107945,36.7460409972028,46.7695528889054,32.8934050288221,41.0,57.1411255924092,81.9124223076808,77.0233730468531,79.184316309346,106.0,118.475904198205,57.3580122576461,48.0765980683612,84.6422169131663,75.0,86.3965228917996,154.264645038235,164.765933138302,183.519593219677,215.0,255.597950898028,105.090790196517,121.083377190316,120.449312837025,140.0,191.752354972527,83.0136810787062,109.386486361468,107.062760333717,126.0,168.567968648658
"PV",,24.2164176511409,25.9222121027612,29.3674098148297,33.4265734265734,38.7028266491173,25.1303957551581,27.9177207292771,31.9213771105583,33.8095238095238,35.4839358347836,22.0812347921195,28.6101328337779,27.9027349778638,38.9261744966443,45.0948224000519,30.9657052263574,19.0682163328676,33.1675743548772,35.2941176470588,38.4202652770296,22.7300742912472,25.0273931386849,26.226691826937,28.1818181818182,36.3968100368357,29.1699522491936,32.0380406443944,31.5753236498147,20.0,39.5348458931831,0.0,0.0,0.0,40.0,50.0260091686653,29.204464131869,38.8241507663089,35.5167423135142,52.6315789473684,35.0093318827611,26.604757138679,26.2616206467028,39.8797523527654,44.4444444444444,48.9253106521981,28.7574509951523,34.1989290295985,34.9345926044133,41.3793103448276,41.905940478613,19.3655427963623,20.4811009340796,31.0710518809876,34.0909090909091,39.7624816644862,27.3774048396508,25.2017344964887,30.8695213236983,32.5342465753425,38.4902884565249,22.4173948989604,28.7672840999971,23.673162549204,31.7460317460317,37.3308956753432,23.3420151221751,27.1335412052405,28.2475356318302,31.2727272727273,36.3968100368357,14.8260862049845,35.4945277948175,22.1309361654977,33.75,40.13558333479,24.2164176511409,25.9222121027612,29.3674098148297,33.4265734265734,38.7028266491173,22.9952083338561,21.7136068568116,37.9309980569779,33.5443037974684,42.7295147853619,30.1718821752136,26.2387523522056,25.8853994826655,33.5664335664336,39.0172999456996,18.5272758809681,22.5780842776067,24.9121013929995,32.7014218009479,39.7239404160201,15.4098786036452,43.6879877153338,39.4739612273148,35.0,24.456897960943,21.6151336462728,34.6734920885159,24.1889397413096,27.2300469483568,38.2895691419777,18.0504022428688,41.1636150384515,24.7831714166107,21.7948717948718,39.8164743178151,23.1351111852568,31.1918204934225,23.8419139036272,30.3703703703704,37.4915183181247,24.3276236169991,23.6704619284013,27.7660304357297,36.6782006920415,39.8216644383999,26.7945815192451,20.460361873588,36.1514525375614,35.2112676056338,37.6696265546932,23.2066171569911,25.4657012877334,28.8256115158266,34.621578099839,40.3249126035346,26.5927829225119,30.0368901119708,32.9158399486011,36.6492146596859,40.455870334588,23.2072923746732,30.0402143470189,32.9911816584027,34.7107438016529,41.5318576765572
"MK",," "," ",a,abc,abcd," "," "," ",a,a," "," "," ",abc,abc,b," ",b,b,b," "," "," "," ",abcd," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",ab,ab,abc," "," "," ",b,abc," "," "," ",ac,abc," "," "," ",a,abc," ",ac," ",a,ac," "," ",a,abc,abcd," "," ",ab,ab,ab," "," "," ",bc,abc," "," "," ",abc,abc," ",ae,ae,a," "," ",acd," "," ",acd," ",acd," "," ",acd," "," "," "," ",ac," "," "," ",abc,abc," "," ",ab,ab,ab," "," ",a,abc,abcd," "," ",a,ab,abc," ",a,a,a,abcd
"RW","ÈÃÒÂÎï±£³ÖÑÕÉ«ÏÊÑÞ Keeps colors bright",165.377629316184,169.494869560964,160.844534289718,174.0,214.146536417154,46.2740798455761,45.7967879249874,42.7398809441146,47.0,50.3887274430192,47.954345351956,36.1921603137055,38.7456233568644,42.0,54.7405559209891,21.8039712228937,19.401725550262,30.1339701415064,36.0,36.7362826599907,49.3452328957582,68.1041957720089,49.2250598472322,49.0,72.2809703931545,5.94086919960004,7.92651213384381,4.79563645450747,1.0,6.97621988906133,0.0,0.0,0.0,7.0,6.22319412965773,9.43445476876696,10.6659877897078,5.05157100785683,8.0,2.49054103119096,1.44627754889769,1.80222293643348,2.74435576875836,4.0,2.96546106532149,16.8216015172647,20.3947228599851,12.5915632311227,20.0,18.6554161152315,29.0681850617055,42.0072690035173,38.7298292029614,40.0,44.1253104487888,73.3226897231145,57.8074948821254,71.1799902243242,66.0,84.7813752416678,46.1651530140993,49.285382815336,38.3431516313094,48.0,66.5844346114656,62.1302629663087,85.1623943559459,58.8080293653278,70.0,72.2809703931545,15.4741739572128,40.7815294940069,11.8844376200062,25.0,23.4524444725067,165.377629316184,169.494869560964,160.844534289718,174.0,214.146536417154,42.3970771211872,29.9803080804314,37.262818271347,35.0,51.0436207942007,72.1915226090869,58.0981738550931,60.086478905448,62.0,89.9822487412928,35.3459935133816,61.5872151349469,41.3025627061472,61.0,54.8282246087517,15.4430360725283,19.8291724904925,22.1926744067754,16.0,18.2924422729084,42.6183798511582,70.4782120497089,38.3156178849948,50.0,62.2677516345642,9.58665228969636,29.8201395708536,12.0245875102748,12.0,20.4965020918238,33.0317275614618,40.6580724788553,26.2910303747201,38.0,41.7712495427404,76.4786553489897,66.2399434971998,57.8852420677745,73.0,91.4543737101759,46.2805941160362,32.7767140140552,64.6436743369483,51.0,60.4244110724135,139.054099671394,131.853435011135,139.737115785547,155.0,183.049740656101,91.7674633592975,110.937878636762,80.2160691896008,97.0,146.999526848097,78.7615428913835,76.6134325162675,77.7488667530129,90.0,121.060066556139
