"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A1"
"VT","【TOMA】"
"HT","Total wave"
"BT","b1.All Respondents"
"CH",,"1st half","National",,,,,"1st half-North","North",,,,
"CL",,"(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)"
"RU","Unweighted row",7944.0,2459.0,2747.0,2738.0,2719.0,2808.0,2492.0,835.0,819.0,838.0,822.0,898.0
"RT","总体",9000.31794512493,3000.0825046684,2999.80487700562,3000.43056345088,2719.0,2999.88072179584,2816.33890042641,952.213222600581,924.007294287963,940.118383537841,822.0,900.580421026909
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","汰渍 Tide",2693.85121463554,918.921272766505,877.642228043841,897.287713825193,879.0,986.160615179383,834.083272564964,299.711855879229,281.034907728297,253.336508957438,249.0,304.856626571518
"PV",,29.9306227964389,30.6298667232178,29.2566438161103,29.9052984180109,32.3280617874218,32.8733275298037,29.6158701794972,31.4752881776509,30.4147932019154,26.9472987012642,30.2919708029197,33.8511275010729
"MK",," "," "," "," ",bc,abc," ",c," "," "," ",c
"RW","碧浪 Ariel",1530.98872819962,511.934592831975,533.595720043779,485.458415323863,502.0,615.974693789321,806.639549598451,267.916272792215,284.654339318693,254.068937487546,242.0,328.322359807717
"PV",,17.0103849389997,17.0640171407072,17.7876809299813,16.1796250590623,18.4626700993012,20.5333061849398,28.6414234265742,28.1361638793999,30.8065034852399,27.0252068182559,29.4403892944039,36.4567507955968
"MK",," "," "," "," ",c,abcd," "," ",c," "," ",abcd
"RW","蓝月亮 Blue Moon",4272.78685756348,1506.26715131332,1415.27787376521,1351.24183248494,1257.0,1356.47385530491,1356.48718132901,464.009332036145,457.858352174243,434.619497118628,383.0,409.33078225537
"PV",,47.4737324127294,50.2075242587306,47.1789976946077,45.0349309510712,46.2302317028319,45.2175930012602,48.1649130054494,48.7295619324518,49.5513785448054,46.2302944745186,46.5936739659367,45.4518855505009
"MK",," ",bcde," "," "," "," "," "," ",e," "," "," "
"RW","立白 Liby",5404.53804877411,1859.52469209829,1845.07865342527,1699.93470325057,1645.0,1802.43554305626,1528.09488708764,542.241182914628,530.86571651279,454.987987660233,445.0,502.838017369832
"PV",,60.0483014236348,61.9824517893991,61.5066222329436,56.6563587225771,60.5001838911364,60.0835736554639,54.2582033311504,56.9453532092023,57.4525460777745,48.3968823105052,54.1362530413625,55.8348822192313
"MK",," ",c,c," ",c,c," ",c,c," ",c,c
"RW","好爸爸 Kispa",1273.62314542258,506.571865212711,380.029927680813,387.021352529059,404.0,490.913657104373,424.182223955212,167.793254893317,132.638791885257,123.750177176637,127.0,138.654847798137
"PV",,14.1508683714051,16.885264469375,12.6684882271462,12.8988604916734,14.8584038249356,16.3644392104528,15.0614765819195,17.6213951781786,14.3547342867535,13.163254686175,15.4501216545012,15.3961650243332
"MK",," ",bcd," "," ",bc,bc," ",bc," "," "," "," "
"RW","雕牌 Diaopai",4426.38675372277,1385.4869334834,1471.04636310145,1569.85345713791,1425.0,1512.06947923627,1428.88195144524,446.854936355313,480.319935603323,501.707079486615,435.0,464.240991900938
"PV",,49.1803376359648,46.1816277161531,49.0380682549538,52.320939409855,52.4089738874586,50.4043200201337,50.7354406541381,46.9280331074286,51.9822666522839,53.366372604969,52.9197080291971,51.5490877951328
"MK",," "," ",a,ab,ab,a," "," ",a,a,a,a
"RW","超能 Chaoneng",2168.7176942848,824.58812928191,712.997023061147,631.132541941741,691.0,780.126548104249,774.064800995036,311.932410671057,244.264513014191,217.867877309789,232.0,245.957308693402
"PV",,24.0960120243252,27.4855150816278,23.7681133371866,21.0347324690579,25.4137550570063,26.005252223403,27.4847888823976,32.758672455644,26.435344669267,23.1745151594538,28.2238442822384,27.3109766713497
"MK",," ",bcd,c," ",c,bc," ",bcde," "," ",c,c
"RW","奥妙 Omo",1775.05989865324,714.950847998675,558.075925027611,502.033125626961,534.0,573.732985483407,448.837381167308,179.239956454548,153.484376176259,116.113048536502,123.0,142.513406370533
"PV",,19.7221910323148,23.8310395426174,18.6037408401268,16.732036119828,19.6395733725634,19.1251932556822,15.9369094784492,18.8235105541831,16.6107320932497,12.3508965008797,14.963503649635,15.8246174403868
"MK",," ",bcde,c," ",c,c," ",cde,c," "," ",c
"RW","洁霸 Attack",102.535368690851,63.4574019820852,16.9641915867473,22.1137751220187,42.0,33.9472807835194,25.4267073567894,21.5386503887802,0.932437315410067,2.9556196525992,2.0,4.75682948007872
"PV",,1.13924162808482,2.11518856175921,0.565509834215644,0.737020059433905,1.54468554615668,1.13162101869162,0.902828397283428,2.26195665819008,0.100912332746096,0.314388028609402,0.24330900243309,0.528195968845806
"MK",," ",bce," "," ",bc,b," ",bcde," "," "," "," "
"RW","威露士Walch",431.374838055503,162.01832862046,151.586996025538,117.769513409505,123.0,119.878108104559,126.148877281461,58.5922550559533,52.7147634945638,14.8418587309438,29.0,28.6251213815685
"PV",,4.79288443681214,5.40046243289458,5.05322853454556,3.92508711396591,4.52372195660169,3.99609581919631,4.47917959242623,6.15327047191516,5.70501594743207,1.5787223174055,3.52798053527981,3.17851917643601
"MK",," ",ce,ce," "," "," "," ",cde,cde," ",c,c
"RW","白猫 Baimao",613.163426203155,175.294085775951,196.023609743382,241.845730683822,236.0,249.201948848416,212.444246676238,46.7543236039021,69.1433149784607,96.5466080938749,82.0,65.6109949801233
"PV",,6.81268628443597,5.84297550161296,6.5345453381305,8.06036752290871,8.67966164030894,8.30706191208944,7.54327707663565,4.91006872139538,7.48298367403499,10.2696223991017,9.97566909975669,7.28541210182082
"MK",," "," "," ",ab,ab,ab," "," ",a,abe,abe,a
"TE"
"TB","B2A1"
"VT","【ABA】"
"HT","Total wave"
"BT","b1.All Respondents"
"CH",,"1st half","National",,,,,"1st half-North","North",,,,
"CL",,"(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)"
"RU","Unweighted row",7944.0,2459.0,2747.0,2738.0,2719.0,2808.0,2492.0,835.0,819.0,838.0,822.0,898.0
"RT","总体",9000.31794512493,3000.0825046684,2999.80487700562,3000.43056345088,2719.0,2999.88072179584,2816.33890042641,952.213222600581,924.007294287963,940.118383537841,822.0,900.580421026909
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","汰渍 Tide",7850.06146597763,2670.04439179293,2545.06464867553,2634.95242550917,2365.0,2642.48695625468,2454.67712748886,862.118310763922,774.186735709911,818.372081015007,708.0,794.087127735484
"PV",,87.219823942216,88.9990321145533,84.8410064329248,87.8191436124632,86.9805075395366,88.086400804389,87.158442725668,90.5383679098047,83.7857818326528,87.049896624223,86.1313868613139,88.175037919435
"MK",," ",bd," ",b,b,b," ",bcd," ",b," ",b
"RW","碧浪 Ariel",6952.02485010904,2382.68782949236,2261.98297704158,2307.35404357512,2144.0,2272.09777238627,2488.72806093103,865.588495367146,796.351123650666,826.788441913199,711.0,783.341591968427
"PV",,77.2419918106853,79.4207434557109,75.4043369413902,76.900764566315,78.8525193085693,75.7396037741832,88.3674922983958,90.9028014758234,86.1845061801521,87.9451414195136,86.4963503649635,86.9818589965793
"MK",," ",bce," "," ",bce," "," ",bcde," "," "," "," "
"RW","蓝月亮 Blue Moon",8181.34498371605,2743.32300203364,2683.19530235559,2754.82667932682,2481.0,2718.4455753877,2596.01194988957,883.251189064014,844.018136049016,868.742624776525,750.0,820.249852852034
"PV",,90.9006218846693,91.4415852818974,89.4456610469255,91.8143786723202,91.2467819051122,90.6184554484668,92.1768310446064,92.7577109937388,91.3432330314463,92.4077903367111,91.2408759124088,91.0801338448735
"MK",," ",b," ",b,b," "," "," "," "," "," "," "
"RW","立白 Liby",8381.2534246769,2784.0947848009,2790.71924797293,2806.43939190307,2541.0,2795.23627707682,2616.52911481366,885.4830333859,864.506013971772,866.540067455966,744.0,826.014034458954
"PV",,93.1217483179764,92.8006073322513,93.030025698158,93.5345555430987,93.4534755424789,93.1782472805618,92.9053358747949,92.9920959265368,93.5605183331325,92.1735052339913,90.5109489051095,91.7201856905873
"MK",," "," "," "," "," "," "," ",d,d," "," "," "
"RW","好爸爸 Kispa",4816.33843026339,1813.22133396818,1516.22847460994,1486.88862168529,1404.0,1512.20486718764,1556.16707900132,605.451175041124,489.225648195645,461.490255764556,438.0,461.69463295643
"PV",,53.5129809816573,60.439048964375,50.5442366012627,49.5558417447652,51.6366311143803,50.4088331312847,55.2549651878085,63.5835714807217,52.9460807528192,49.0885258543591,53.2846715328467,51.2663413701545
"MK",," ",bcde," "," "," "," "," ",bcde," "," ",c," "
"RW","雕牌 Diaopai",7819.81746936807,2597.43425661888,2578.72923025719,2643.65398249201,2439.0,2644.72642680004,2480.9505141537,833.308312535975,800.675915975835,846.966285641875,727.0,796.243565121034
"PV",,86.8837914065438,86.5787608366449,85.9632321429936,88.1091538892828,89.7020963589555,88.1610527906859,88.0913342417021,87.5127852415381,86.6525536027108,90.0914502335953,88.4428223844282,88.4144876493204
"MK",," "," "," ",ab,abce,ab," "," "," ",ab," "," "
"RW","超能 Chaoneng",7672.33672700443,2631.29992409615,2420.76595332254,2620.27084958574,2346.0,2544.17613131018,2458.49195873267,864.330281966097,761.103861845272,833.057814921285,703.0,778.029085013523
"PV",,85.2451743792028,87.7075853747892,80.6974470865895,87.3298279754921,86.2817212210371,84.8092430084069,87.2938962835917,90.7706657974705,82.3698975701027,88.6120120092039,85.5231143552311,86.3919608785583
"MK",," ",be," ",be,b,b," ",bde," ",bd,b,b
"RW","奥妙 Omo",7093.317772147,2502.06021086888,2245.64993899326,2345.60762228487,2063.0,2214.30906869485,2197.76802749178,775.651451928812,658.120934752588,763.995640810371,590.0,644.551388130708
"PV",,78.8118577076395,83.3997134070627,74.8598669269063,78.1757008763142,75.8734828981243,73.8132370599484,78.0363480815119,81.4577484873018,71.2246471235634,81.2658973793612,71.7761557177616,71.5706641052381
"MK",," ",bcde," ",bde,e," "," ",bde," ",bde," "," "
"RW","洁霸 Attack",2027.15730172857,705.801094028662,681.608339191117,639.74786850879,569.0,573.538406722385,525.908930739863,188.72009671602,172.052189169092,165.136644854751,124.0,115.203598034625
"PV",,22.5231743377087,23.5260561311354,22.7217558187148,21.3218688111548,20.926811327694,19.1187070390934,18.6734959581831,19.8191006212462,18.6202198005022,17.5655159761168,15.0851581508516,12.79214996738
"MK",," ",cde,e,e,e," "," ",de,de,e," "," "
